Fach	2010-05-06
A0	48
A1	50
A2	76
A3	100
A4	49
B0	50
B1	34
B2	50
B3	33
B4	48
C0	45
C1	48
C2	30
C3	30
C4	49
D0	62
D1	46
D2	27
D3	0
D4	38
E0	0
E1	9
E2	30
E3	22
E4	2
F0	46
F1	12
F2	49
F3	38
F4	46
G0	45
G1	73
G2	96
G3	46
G4	158
H0	20
H1	78
H2	10
H3	11
H4	160
I0	67
I1	10
I2	43
I3	9
I4	5
J0	38
J1	44
J2	36
J3	13
J4	23
K0	120
K1	24
K2	118
K3	117
K4	44
L0	18
L1	16
L2	35
L3	12
L4	8
A5	25
A6	44
A7	10
A8	8
A9	45
B5	90
B6	1
B7	62
B8	45
B9	125
C5	20
C6	22
C7	23
C8	32
C9	13
D5	103
D6	63
D7	90
D8	61
D9	102
E5	17
E6	10
E7	17
E8	24
E9	16
F5	19
F6	10
F7	17
F8	8
F9	21
G5	9
G6	6
G8	380
G9	530
H5	9
H6	18
H7	19
H8	20
H9	40
I5	50
I6	49
I7	50
I8	25
I9	33
J5	23
J6	24
J7	47
J8	1
K5	10
K6	11
K7	10
K8	3
K9	3
L5	20
L6	27
L7	15
L8	4
L9	2
