fach;title;extra;price
H5;0,22 Ohm;5%, 0.5W, Metallschicht;0,50 EUR
H6;0,33 Ohm;5%, 0.5W, Metallschicht;0,50 EUR
H7;0,47 Ohm;5%, 0.5W, Metallschicht;0,50 EUR
H8;0,68 Ohm;5%, 0.5W, Metallschicht;0,50 EUR
10;0,01 Ohm;1%, 5W, Metallschicht;2,00 EUR
11;0,10 Ohm;1%, 5W, Metallschicht;2,00 EUR
12;0,50 Ohm;1%, 7W, Metallschicht;2,00 EUR
13;1,00 Ohm;1%, 7W, Metallschicht;2,00 EUR
14;1,50 Ohm;1%, 7W, Metallschicht;2,00 EUR
20;2,00 Ohm;1%, 7W, Metallschicht;2,00 EUR
21;10,00 Ohm;1%, 7W, Metallschicht;2,00 EUR
H9;1 Ohm;1%, 0.6W, Metallschicht;0,10 EUR
I5;1,5 Ohm;1%, 0.6W, Metallschicht;0,10 EUR
I6;2,2 Ohm;1%, 0.6W, Metallschicht;0,10 EUR
I7;3,3 Ohm;1%, 0.6W, Metallschicht;0,10 EUR
I8;4,7 Ohm;1%, 0.6W, Metallschicht;0,10 EUR
I9;6,8 Ohm;1%, 0.6W, Metallschicht;0,10 EUR
M0;10 Ohm;1%, 0.6W, Metallschicht;0,10 EUR
M1;15 Ohm;1%, 0.6W, Metallschicht;0,10 EUR
M2;22 Ohm;1%, 0.6W, Metallschicht;0,10 EUR
M3;33 Ohm;1%, 0.6W, Metallschicht;0,10 EUR
M4;47 Ohm;1%, 0.6W, Metallschicht;0,10 EUR
N0;68 Ohm;1%, 0.6W, Metallschicht;0,10 EUR
N1;100 Ohm;1%, 0.6W, Metallschicht;0,10 EUR
N2;150 Ohm;1%, 0.6W, Metallschicht;0,10 EUR
N3;220 Ohm;1%, 0.6W, Metallschicht;0,10 EUR
N4;330 Ohm;1%, 0.6W, Metallschicht;0,10 EUR
O0;470 Ohm;1%, 0.6W, Metallschicht;0,10 EUR
O1;680 Ohm;1%, 0.6W, Metallschicht;0,10 EUR
O2;1,0 kOhm;1%, 0.6W, Metallschicht;0,10 EUR
O3;1,5 kOhm;1%, 0.6W, Metallschicht;0,10 EUR
O4;2,2 kOhm;1%, 0.6W, Metallschicht;0,10 EUR
P0;3,3 kOhm;1%, 0.6W, Metallschicht;0,10 EUR
P1;4,7 kOhm;1%, 0.6W, Metallschicht;0,10 EUR
P2;6,8 kOhm;1%, 0.6W, Metallschicht;0,10 EUR
P3;10 kOhm;1%, 0.6W, Metallschicht;0,10 EUR
P4;15 kOhm;1%, 0.6W, Metallschicht;0,10 EUR
Q0;22 kOhm;1%, 0.6W, Metallschicht;0,10 EUR
